frame,E_CO,E_CD
0,-44.732,23.591
1,-49.890,5.626
2,-41.901,49.704
3,-52.066,9.580
4,-69.000,22.127
5,-61.337,22.092
6,-67.395,24.136
7,-72.630,30.778
8,-61.198,21.602
9,-77.530,31.206
10,-73.572,77.914
11,-64.726,45.953
12,-64.010,21.024
13,-51.432,27.368
14,-46.269,13.508
15,-77.050,72.277
16,-57.315,70.645
17,-28.765,21.948
18,-73.875,77.374
19,-49.690,10.695
20,-41.995,-5.607
21,-58.353,8.782
22,-51.741,5.323
23,-44.794,32.466
24,-83.535,50.069
25,-34.317,32.148
26,-48.152,43.500
27,-73.861,48.399
28,-77.428,22.065
29,-37.300,21.978
30,-63.621,43.006
31,-46.189,20.645
32,-55.041,18.702
33,-43.341,30.139
34,-30.161,15.197
35,-73.243,70.041
36,-51.972,14.328
37,-66.303,25.189
38,-49.169,50.367
39,-57.258,62.912
40,-42.750,32.940
41,-73.360,40.624
42,-71.484,35.146
43,-63.470,75.751
44,-73.132,37.700
45,-78.103,51.187
46,-74.320,37.495
47,-50.925,55.989
48,-48.819,30.627
49,-70.000,65.179
50,-44.659,42.215
51,-54.428,29.916
52,-57.992,41.089
53,-73.206,37.277
54,-59.723,21.941
55,-38.878,53.172
56,-55.730,14.701
57,-43.453,33.895
58,-53.929,62.194
59,-56.639,40.221
60,-37.932,18.470
61,-65.043,18.616
62,-50.487,43.912
63,-62.355,47.415
64,-38.805,16.356
65,-68.849,63.414
66,-46.604,14.040
67,-64.105,16.191
68,-64.551,34.950
69,-57.095,45.891
70,-69.329,69.965
71,-74.946,48.032
72,-54.069,7.065
73,-58.091,24.913
74,-40.029,5.360
75,-54.654,24.276
76,-81.310,29.084
77,-61.073,35.912
78,-63.118,55.672
79,-74.109,24.811
80,-67.630,84.419
81,-44.692,5.656
82,-28.526,18.089
83,-57.443,42.936
84,-66.331,72.177
85,-81.398,42.851
86,-111.381,96.046
87,-74.407,36.069
88,-89.275,46.863
89,-47.049,18.365
90,-49.952,60.454
91,-58.633,40.808
92,-52.132,5.731
93,-59.317,37.828
94,-60.961,50.815
95,-41.900,26.504
96,-73.408,50.213
97,-73.960,47.641
98,-45.622,2.327
99,-70.708,40.195
100,-55.196,2.730
