frame,E_bond1,E_bond2
0,-43.848,25.053
1,-51.317,3.747
2,-44.019,46.733
3,-55.123,6.797
4,-70.255,20.037
5,-62.174,19.993
6,-69.906,23.493
7,-70.504,29.033
8,-61.004,19.127
9,-78.453,27.859
10,-75.377,73.308
11,-64.039,40.986
12,-65.112,18.071
13,-53.483,25.999
14,-46.579,10.426
15,-75.600,67.261
16,-58.745,75.718
17,-30.435,19.186
18,-72.613,78.579
19,-49.479,10.613
20,-44.667,-8.096
21,-58.167,10.141
22,-52.088,3.482
23,-45.271,34.921
24,-85.928,45.956
25,-33.889,30.254
26,-47.112,39.732
27,-74.597,45.033
28,-80.643,17.714
29,-38.092,22.558
30,-63.871,41.487
31,-47.826,21.522
32,-55.980,16.906
33,-44.279,28.702
34,-31.931,14.585
35,-73.054,62.181
36,-52.914,11.541
37,-65.306,21.383
38,-50.630,47.287
39,-57.514,69.978
40,-42.641,36.214
41,-72.692,39.238
42,-72.080,32.573
43,-61.066,74.752
44,-74.330,36.091
45,-76.460,48.410
46,-76.347,33.191
47,-51.785,53.003
48,-48.824,32.631
49,-71.086,62.400
50,-44.617,44.403
51,-54.332,28.265
52,-58.482,42.206
53,-70.014,29.242
54,-58.384,18.523
55,-39.185,47.213
56,-56.801,14.342
57,-45.546,31.251
58,-54.627,57.469
59,-57.052,37.741
60,-41.087,17.453
61,-66.828,17.245
62,-52.482,41.491
63,-60.806,45.767
64,-39.660,13.757
65,-69.761,60.261
66,-45.721,15.841
67,-66.693,11.691
68,-64.928,36.421
69,-56.874,45.269
70,-65.916,70.554
71,-74.629,43.902
72,-52.501,4.775
73,-61.153,18.208
74,-39.338,7.952
75,-54.996,22.254
76,-83.432,24.857
77,-63.247,29.719
78,-64.724,52.636
79,-73.522,18.754
80,-68.608,87.159
81,-46.091,3.010
82,-28.897,17.107
83,-56.792,43.950
84,-65.461,76.055
85,-82.139,35.031
86,-109.732,89.110
87,-72.875,37.020
88,-91.670,43.156
89,-47.792,18.612
90,-50.290,63.702
91,-60.336,35.595
92,-54.893,3.803
93,-62.035,34.273
94,-62.939,45.832
95,-41.882,27.433
96,-71.876,47.129
97,-73.269,46.128
98,-45.460,-0.134
99,-71.117,35.666
100,-55.175,1.484
