frame,E_bond1,E_bond2
0,-47.175,21.393
1,-55.033,0.771
2,-44.933,42.260
3,-55.978,4.094
4,-72.135,17.565
5,-63.566,16.738
6,-72.193,18.570
7,-75.513,23.123
8,-62.143,15.284
9,-83.422,22.121
10,-75.993,70.985
11,-65.769,36.143
12,-67.804,13.585
13,-57.073,19.812
14,-49.895,6.104
15,-77.543,63.101
16,-64.675,73.809
17,-33.982,12.887
18,-77.659,71.075
19,-52.467,9.058
20,-45.685,-12.319
21,-58.284,6.822
22,-52.841,-0.786
23,-46.878,31.695
24,-88.292,41.728
25,-37.481,25.533
26,-49.714,34.888
27,-77.105,37.579
28,-84.947,13.557
29,-41.591,17.364
30,-67.538,37.089
31,-50.025,17.355
32,-58.371,14.988
33,-48.100,24.320
34,-34.615,10.658
35,-75.672,58.933
36,-56.011,8.372
37,-68.712,16.710
38,-52.126,43.262
39,-63.926,67.138
40,-47.024,29.568
41,-77.039,37.253
42,-75.897,28.937
43,-64.525,70.614
44,-78.504,32.675
45,-79.424,46.322
46,-78.677,28.981
47,-55.446,47.890
48,-52.584,28.035
49,-77.415,58.435
50,-47.045,41.238
51,-57.000,26.317
52,-61.970,40.332
53,-72.924,26.021
54,-61.369,13.351
55,-41.533,42.399
56,-58.605,10.378
57,-47.600,27.505
58,-58.078,51.433
59,-61.843,35.177
60,-42.277,15.070
61,-70.424,14.800
62,-54.539,37.464
63,-63.524,40.713
64,-44.051,11.431
65,-71.239,56.915
66,-47.577,10.982
67,-68.354,8.953
68,-69.261,31.690
69,-59.578,39.933
70,-69.079,68.551
71,-75.374,41.636
72,-54.750,2.283
73,-63.312,13.463
74,-42.143,6.334
75,-57.090,17.337
76,-86.275,20.063
77,-65.200,24.074
78,-63.618,49.368
79,-75.908,16.221
80,-74.001,80.171
81,-47.847,-1.035
82,-29.574,12.155
83,-60.396,40.451
84,-70.237,70.691
85,-83.132,30.212
86,-112.290,84.821
87,-75.262,34.262
88,-93.783,39.253
89,-51.165,12.461
90,-51.548,59.129
91,-65.896,32.011
92,-54.705,0.977
93,-64.555,29.073
94,-64.572,41.840
95,-44.887,24.378
96,-73.309,44.074
97,-78.274,40.949
98,-49.976,-3.274
99,-74.109,29.713
100,-56.450,-2.670
