frame,E_bond1,E_bond2
0,-46.008,17.768
1,-51.994,0.103
2,-41.198,42.541
3,-52.079,5.051
4,-68.990,18.172
5,-59.486,16.553
6,-67.249,16.885
7,-75.123,20.637
8,-62.131,15.761
9,-80.545,22.123
10,-72.837,71.918
11,-64.077,38.631
12,-64.838,14.335
13,-53.726,18.495
14,-48.261,4.489
15,-77.103,64.581
16,-58.907,63.199
17,-30.562,12.136
18,-79.702,61.629
19,-49.954,7.100
20,-43.028,-12.277
21,-56.295,4.501
22,-46.849,0.927
23,-46.267,27.544
24,-83.925,43.407
25,-35.703,23.750
26,-49.482,35.055
27,-76.070,37.409
28,-79.780,13.532
29,-39.955,13.850
30,-65.468,36.082
31,-45.916,15.284
32,-55.206,15.407
33,-43.641,24.319
34,-31.310,8.091
35,-72.441,63.857
36,-51.439,8.514
37,-67.143,18.476
38,-49.040,43.424
39,-62.991,55.181
40,-46.471,22.129
41,-73.584,36.521
42,-73.411,28.631
43,-66.428,67.418
44,-75.983,32.002
45,-77.887,46.864
46,-74.679,30.747
47,-52.462,47.569
48,-51.615,21.058
49,-73.108,57.663
50,-45.598,36.296
51,-54.381,26.473
52,-56.687,37.070
53,-72.961,31.327
54,-61.344,12.855
55,-38.631,45.012
56,-56.072,8.760
57,-45.111,28.093
58,-54.558,51.876
59,-56.827,35.150
60,-36.718,13.512
61,-65.662,14.256
62,-51.861,36.933
63,-63.911,37.795
64,-38.742,11.420
65,-67.780,57.029
66,-45.113,5.982
67,-64.595,11.281
68,-66.064,27.539
69,-58.547,36.227
70,-70.593,64.749
71,-73.881,43.407
72,-53.583,2.639
73,-58.848,16.532
74,-39.931,2.334
75,-55.474,16.908
76,-82.527,21.467
77,-60.576,27.401
78,-61.628,49.338
79,-74.796,20.193
80,-72.577,68.645
81,-43.994,-0.419
82,-28.438,11.222
83,-58.091,37.106
84,-69.670,62.622
85,-81.570,34.441
86,-110.171,87.723
87,-73.595,30.114
88,-90.396,39.009
89,-49.452,9.788
90,-51.874,52.050
91,-60.948,34.212
92,-50.797,0.864
93,-61.586,27.268
94,-60.656,43.901
95,-43.173,21.114
96,-72.970,43.564
97,-77.320,38.537
98,-47.884,-3.669
99,-73.383,29.770
100,-55.546,-2.890
